OBSID,teacher_turn_idx,teacher_text,student_turn_idx,student_text,alt_dialogic_teaching,alt_productive_failure,alt_uptake,alt_pressing_for_reasoning
4685,435,"No, that’s wrong. This is -",434,How come you have to do .,"[teacher] That’s a great question to explore—tell me more about what you’re thinking there; if we didn't use 180 for that straight line, what do you think the total should be and why?","Take a look at that straight line. If we used the numbers you’re thinking of, what would happen when you add them together? Does it still match the 180 degrees we need for a flat line?",That’s a great question—why *do* we have to use that 180-degree total to figure out the missing part of the angle?,Tell me more about your thinking there—how does your idea connect to what we know about the total degrees in a straight line?
749,295,"52 is rounded to 60, Student N? Student N, is 52 rounded to 60? Pay attention to your work. See, you're not paying attention. And she's with you not able to see that is incorrect because she needs to be pay attention also. So 50 take away 40 does not equal 20. That's what you call focus on what you're doing. Give me five. Give me five. Give me five. Give me five. I see Student A's head up. This group hand is up. I want the other two groups to be ready. Thank you, Student J. Thank you, Student D. Waiting on the girls. What have we learned about rounding? What have we reviewed about rounding? Let's wrap up. What have learned or reviewed about rounding? Student A, tell me something you learned about rounding or remember about rounding from this lesson.",294,Now we on 12.,"Student N, I see you have 60 written down for 52. Tell me more about your thinking there—how did you decide that 52 should go up to 60 instead of back to 50?","Student N, I see you’ve rounded 52 to 60. Before you move on, I want you to look at the number 52 and think about the two tens it sits between—50 and 60. If you had to walk from 52 to 50, and then walk from 52 to 60, which walk would be shorter? Go ahead and test that distance on your number line and see if 60 still feels like the ""nearest"" ten. Once you've checked that, look at your subtraction again: if you have five tens and take away four tens, does that leave you with two tens? Check those two spots and see if your answers match what you find.","So, Student N, you’re suggesting 52 rounds up to 60. If we look at where 52 sits on a number line between 50 and 60, what do we notice about its distance from each of those ""ten"" numbers?","Student N, I see you rounded 52 to 60. Can you walk me through your thinking and explain how you decided that 60 was the closest ten for 52?"
4261,150,"He says three fourths. Sorry. No. He’s incorrect. They’re equal. Hold on. Why are they equal, Student G?",149,Three fourths.,"""You’re thinking three-fourths. Can you walk us through your process and show the class how you compared that to six-eighths on your board?""","Student Z says three-fourths. I want you to take a moment on your board to draw a model of both three-fourths and six-eighths side-by-side. Look closely at your drawings—what do you notice about the total amount shaded in each, and how does that compare to your first answer?","Student Z is pointing us toward three fourths. If we look at the six eighths right next to it, how can we use our math tools to see how those two amounts actually compare to one another?",Student Z says three fourths. Can you explain your thinking and show us how you compared those two fractions?
503,32,"No, that's not right.",31,One ninth.,I see. Walk me through your steps—what number did you divide 18 and 36 by to get to one ninth?,"[teacher] Let’s test that out. If you divide 18 by 18 to get 1, what do you get when you divide 36 by that same 18?",You're suggesting one ninth; walk us through your thinking—what common factor did you use to get from 18 and 36 to that result?,How did you arrive at one ninth? Walk us through your thinking for simplifying eighteen thirty-sixths.
509,536,That's not right. You have two answers that are flip-flopped.,535,Student A.,I see you have five-sevenths there; could you walk me through your thinking on how you decided to place those numbers in that order?,Take a look at those two fractions and try testing them against the code. How can you check if the order you have them in actually fits the pattern you found?,"[teacher] You’ve landed on five-sevenths; looking at the rest of your code, how did you and Student A decide on the order for those last two fractions?","How did you arrive at five-sevenths, and how does that fit into the logic you used for the other parts of the code?"
2204,200,"Now we need to get going and see if I can let people do page 8 and then we can go into page – I mean page 21 and then page 22 for those that can really get into it quick. Let's see. No, that's not right. That's not right, Student F. Student F, wait a minute. Student F, did you draw it and get the answer? Yeah, 21, yes. I'll give you one minute.",199,Five more minutes.,I’ll give you that extra time to finish your thinking. What are you noticing about how those 44 pieces are fitting into your groups of eight so far?,"""You're going back and forth on whether there's a remainder. I want you to keep working through your array or your grouping strategy. Try to fit all 44 into those groups of 8 and see what happens when you get to the very end. Does it land exactly on 44, or do you notice a gap?""","Student F, I see you’ve been working hard on your drawing. Looking at the groups you made, how did you decide what to do with those last few pieces that didn't quite make a full set of eight?","Student F, walk us through your thinking—how did you determine whether or not there would be a remainder, and what did you see in your groups or your array that led you to that conclusion?"
2398,152,It's not 9 times 9 equals 45. That's not right.,151,9.,"So if we have 9 students and 45 notebooks, tell me more about how you're putting those numbers together to solve the problem.","[teacher] Let’s test that out. If you have 9 students and you give each of them 9 notebooks, try skip-counting by nines or drawing it out to see if you end up with exactly 45.","So if there are 9 students and we have 45 notebooks total, how many notebooks would each of those 9 students need to get so we use them all up?",How did you use the 9 students and the 9 notebooks to come up with a total of 45?
2968,154,"Okay, Student L, please sit. 88/100 is not right. Student J, you are up. Everyone should try this on a scrap piece of paper to see what you get. Student I, let’s see you try it on a scrap piece of paper. Take out a piece of paper from your desk and just do it on the back. Student I, you can take the spelling list and just flip it over and you can try it on the back. Student S are you trying it? Student G, M, come on, try, I want to see everyone trying.",153,If everybody gets it wrong can you tell us the answer?,"I see you’ve come up with 88/100, Student L. Can you walk us through your thinking and show us the steps you took to get to that fraction? What were you looking at in terms of the place value to reach that result?","Student L, let’s look at that 88/100. Before we move on, I want you to try to check that answer—if you multiply it back, does it bring you back to the number we started with? Everyone, look at the place value Student L used. Try his approach on your scrap paper and see if you can find where it matches the problem and where it might run into a snag. What do you notice happens to the decimal when you test it out?","Student L, you’re thinking 88/100. If we look at that as eighty-eight hundredths, how does that help us decide where the decimal should land in our quotient?",
60,90,Five times 36. Not quite. Student K?,89,Five times 36.,"If we multiply five times 36, what would that tell us about the total number of flowers in our story?","If each of the five friends got 36 flowers, would that bring us back to the 36 flowers we started with? Try to picture how many flowers that would be in total and see if it fits our problem.","So if we think about five times 36, what would that total represent in our story, and how does that help us find the number we need to multiply by five to equal our 36 flowers?",How would multiplying 5 times 36 help us figure out how many flowers each of the five friends gets?
241,68,"4 16ths, not quite, I know why you said 4 16ths and I’m going to clear that up mainly tomorrow. Student D?",67,4 16ths.,"4 16ths—tell me more about your thinking there. How did you arrive at 16ths, and how does that total look to you when you think about those four groups of 25 squares on our grid?","Interesting. Let’s test that idea. If we have four groups of 25 squares, we’ve filled the whole grid of 100 squares. Does 4 out of 16 squares cover that same amount of space? Take a look at your grid and see if those two amounts match up.","[teacher] So you’re seeing those four parts adding up to 4/16. If we know each of those fourths covers 25 squares on our grid, how many total squares would we have if we put all four of those fourths together?","How did you arrive at 4/16ths, and how does that answer connect back to the total number of squares we should have in our grid?"
760,4,Close. Not quite. Student J?,3,The mean – no the .,"""You started to say 'the mean' but then caught yourself—what was that second word you were thinking of?""","If we just used the mean as our title, what would a reader be missing if they wanted to know what our entire graph was actually about? Take a second to think about what else they might need to see there.",You mentioned the mean—how does that specific piece of data help us describe what the entire graph is showing in the title?,What was your thinking there? How would including the mean help a reader understand what our data is representing?
924,123,Not quite. Who's next on Student D's team?,122,4.56?,"I see you have the digits 4, 5, and 6. Can you walk us through your process for deciding where that decimal point should be placed?","""Hold on—if you're dividing 22 by a number as tiny as five-thousandths, would your answer be smaller or larger than 22? Take another look at your place value and see what happens to the size of that number.""","You’ve got the digits 4, 5, and 6, but if we are dividing 22.8 by a tiny number like five-thousandths, how does that help us rethink the decimal placement in your answer of 4.56?",How did you arrive at that answer? Walk us through the steps you took to solve it.
924,191,"Not quite, but it's a good try. Who's next on this team? Student T?",190,.,"""I see the order you've chosen. Could you walk us through your thinking and explain how you compared those three different denominators?""","""I want you to pause and test that. If we know a percentage is always out of 100, how would you scale that 20 up to 100, and does your current answer match that result? See if you can find where the numbers might be clashing.""",I see you're focusing on that seventeen; how does the twenty in the denominator help you decide where to place your decimal point or determine the percentage?,Can you explain the thinking you used to put those in that specific order? How did you compare the different denominators to decide which fraction was the largest?
1035,842,Not quite.,841,The value that you come up with the .,"When you say it’s the value you ""come up"" with, how do you decide which one it is—what are you looking for in the list of numbers?","If we have a list of five different numbers, how would we use your idea to decide which specific one is the mode?",So it's a value you come up with in the data—what is it about that specific value that makes it the mode compared to the other numbers?,"What do you mean by ""come up with""? How do we know which value in our list is the one we are looking for?"
1159,15,Not quite. Who can circumference. Say circumference everybody.,14,.,That’s an interesting connection. Can you explain your thinking and how that relates to the outside boundary of the shape we’re looking at?,"That’s an interesting way to think about it. If we have a perfectly round shape like a circle, instead of a rectangle with straight sides, how would your idea work if there are no corners to measure from? What would happen if we tried to use length and width on something round?","You’re pointing us toward the distance around the edge of a shape. If we were looking at a circle instead of a rectangle, what is the specific term we use for that measurement around the outside?","What makes you say that, and how does that term connect to the way we measure the outside of a shape compared to the area inside?"
2408,20,Almost. Almost. Not quite. Yes?,19,Data is like a timeline?,That’s an interesting connection—what is it about a timeline that makes it feel like data to you?,"That’s an interesting connection. If we were collecting data on everyone's favorite color in this class, how would you try to organize that into a timeline?",A timeline—that’s an interesting way to look at it. How does putting information onto a timeline help us understand the data better?,How would a timeline work to show or keep track of information?
2640,116,"Yes. Yes. Now write an improper fraction. Good. Very good, Student T. Yes. No, not quite. Good. Yes. No, that number you wrote was bigger than that one. Okay. Make a mixed number.",115,This is not proper?,"Tell me more about why you’re questioning that one—looking at the numerator and the denominator you wrote, how do they compare to each other, and what does that tell you about whether it’s proper or improper?","Look at the numerator and denominator you wrote and compare them to the rule you just told me. If you tried to shade that amount using one single fraction circle, would you have enough room, or would you have to start a second circle? Try to draw it out and see what you discover.","You’re asking if that one is proper—looking at the numerator and denominator you just wrote, how does it fit with your idea that the top number shouldn't go over the denominator?",Look at the numerator and the denominator you just wrote. How does the relationship between those two numbers help you determine if that fraction is proper or improper?
4106,99,Not quite. Student E?,98,Share.,Tell me more about that—how does sharing help us figure out the relationship between two different numbers?,"If we shared those numbers between us, how would that help us show which decimal is larger or smaller?","If we were to share these decimals, how would we determine who has a larger amount or if the amounts are equal?",Tell me more about that; how does sharing help us look at the differences between two numbers?
59,31,"No, that’s not how you would solve for this. Yes.",30,"No, it’s .",Can you explain how you would use those letters in your example to find the size of that specific face?,"""Take that idea and try to apply it to the red face using these letters. What happens when you try to calculate the size that way—does it give you the area of just that face, or do you notice a gap?""","""That’s an interesting example to bring up; how would the steps you used in that case help us determine the size of this red face using only the letters we have on the diagram?""",How would that approach help you determine the size of the face we’re looking at?
59,461,That’s not what you said.,460,.,Tell me more about that—how would that approach help us find the total volume?,Try testing that idea out on your paper—how does the result you get compare to the actual space inside the box?,"""Help me understand how that fits—how does the idea you just shared change the way we would calculate the volume for this shape?""","How did you decide to use those specific numbers, and why does multiplying them help you determine if you've found a new way to solve it?"
69,158,That’s not a ten.,157,It’s .,Can you walk me through your thinking and how you arrived at that number?,"If you look at your tool and count by tens starting from 400, would you land exactly on that number, or would you land somewhere else?","You’re looking at 400 as a landmark; if we zoom in on the tens, like 460 or 470, which of those is 467 actually closer to?",Can you explain how you decided that was the nearest ten for 467?
72,155,"No. That's not how to do it. Everybody stop. Let's read at the same time. Come to play. Come to this side. When you do the first one – come right here. Everyone's playing. Okay. Student T, move over here. Give me the whole card. Stop whistling please. You have used it two times.",154,I added 2.,"You added 2? Tell me more about how you decided on that number and how it helps your total get closer to 1,000.","You added 2? Let’s test that out. If you add 2 to your current total, what is your new distance from 1,000? Compare that number to your previous score and see if that move gets you closer to the goal or further away.","You added 2? Tell us more about that—how does adding 2 help your total get closer to our goal of 1,000?","How did you decide to add 2, and what does that tell you about how close your total is to 1,000?"
136,82,"That's not qualifying. Writing it on the desk is not an okay way to show me the answer. I gave you the cubes for a reason. I want to see you use the cubes to show me, and get out a piece of paper. Do it again, Student T, because I'm not taking a bunch of scribbling on the desk. That's not okay. All right. You're supposed to close it off. Do you have another piece of tape? Does anyone have an extra piece of tape? Thank you. The box needs to be closed off. You can't open it up.",81,Like this.,I see you’ve sketched your ideas right there on the desk; tell me more about how those marks represent the dimensions you found and how they help you calculate the volume.,"I see what you’ve sketched out there. Before you move that to paper, try using your cubes to test if those dimensions you drew will actually fill the space inside your box. See if you can find any spots where your drawing and the physical cubes don't quite match up.","I see how you’ve sketched your thinking out right there. Tell me, how do those marks you made represent the dimensions you found, and how can we use these cubes to test if that volume is correct?","I see what you’ve written there, but walk me through your thinking. How do those markings represent the dimensions you found, and how did you use them to calculate the total volume of the box?"
155,175,It is more than 90 but that’s not the –,174,More than 90.,"You're right, it is more than 90. If you picture a 90-degree right angle, how many of those do you think it would take to make this straight line?","[teacher] It is more than 90. If you place a 90-degree right angle against that line, what do you notice about the space that’s left over, and how does that remaining part compare to the first 90 degrees?","""You're right, it is more than 90. If a right angle is 90 degrees, how many of those 90-degree angles would we need to put together to make this straight line?""",It is more than 90; what's your reasoning for why it has to be larger than a right angle?
168,222,That’s not $96.00.,221,Week 12 is $92.00.,"So if she has $92.00 in week 12, what does that tell you about how much more she needs to reach her $96.00 goal?","If week 12 only gets her to $92.00, how does that compare to the $96.00 goal she’s aiming for?","So if she has $92 at week 12, how much more does she need to earn to reach that $96 goal?","How did you determine that week 12 is $92.00, and how does that help us figure out when she reaches $96.00?"
200,416,"No, it’s not. That’s not how you use this. Okay, so when you figured out Boston to L.A., what did you do? Excuse me, those are not working right – we’re not using those right now.",415,"To Washington, D.C. I mean –","Tell me more about how you’re using the chart to find that number; what steps are you taking to get from Seattle to Washington, D.C.?","Go ahead and try to find the distance using that approach. Once you have a number, compare your process to how you found Boston to L.A. and tell me if you notice anything that doesn't quite match up.","""So you're looking at the distance between Seattle and D.C. on your chart. How are you finding the spot where those two cities meet?""",Walk me through your thinking—how did you use the chart to arrive at that specific distance between those two cities?
256,20,"Come on, Student W. That’s not good if you’re struggling on that. Come on. Answer them. Easy, huh?",19,.,"I can see you’re thinking carefully about this, Student W. Tell me, what’s going through your mind as you look at the tens place in 457?","[teacher] I see that one is making you think, Student W. Go ahead and try the first approach that comes to mind, even if you aren't sure yet. Once you have an answer, look at the place value you changed and tell me if the result matches what you expected to happen.","I hear you, Student W—it feels like it's getting a bit trickier. When you look at 457 and try to subtract that 300, what is it about the hundreds place that's making you stop and think?","Student W, tell me more about your thinking on this one. How are you deciding which place value changes as you work through the problem?"
298,127,"You're close, but that's not it. We're gonna find that out. Now we need to – everybody got this part down?",126,I just figured out how much is half of it off. It's $9.50.,That's an interesting calculation—can you walk us through the steps you took to get to $9.50?,"Tell us how you reached $9.50. If you double that number to get the full price, does it match the original total we have on the board?","So you’re thinking $9.50 is that half-off amount—walk us through your strategy, how did you use the original price to land on $9.50?",How did you arrive at $9.50? Walk us through your thinking—what steps did you take to calculate that as half?
339,234,"That’s not an order. One, two, five, ten at the end.",233,Could it be this for 30?,Tell me more about your thinking—how would 30 fit in with the other numbers we've found?,"Try putting them in that order and see what happens. Once you have them down, how can you check to see if that sequence covers all the numbers we need for 30, or if we’ve missed a step somewhere?","""If we use that for 30, how does it help us decide where the one, two, and five should go in our sequence?""",How does that arrangement fit the pattern we are building for 30?
339,469,"Oh, four times six you mean? I’m sorry. You’re right. Is what? That’s not what it is. What is four times six?",468,Six.,"I see you’re looking at the number six in the problem. If we know that four times five is twenty, how can we use that twenty to help us find out what four more would be?","Let’s look back at your last answer. You said four times five is 20. If we add one more group of four to that 20, how does that help you decide if six is the right direction?","""You’re looking at that six; if we know four times five is 20, what do we need to add to that 20 to find our new total for four times six?""","You told me four times five is 20, so how can you use that 20 to figure out what one more group of four would be?"
358,265,.25 and that’s not ¼.,264,And that’s .25?,What makes you think it would be .25? Walk me through how you’re connecting that to the fraction we just found.,Try writing .25 as a fraction out of 100 and see if it matches the 16 hundredths we began with.,"You’re wondering if it’s .25; if we know .25 is the same as 25 hundredths, how does that help us figure out what 16 hundredths would look like as a decimal?",How did you arrive at .25? Walk me through the steps you took to get that.
446,311,That’s not one-sixth. Look where we wrote one-sixth.,310,Three-fourths.,Tell me more about that—how did you arrive at three-fourths?,"If you use three-fourths, how does that compare to the size of the one-sixth we are looking for? Try sketching both out and tell me what you notice.",You’re seeing three-fourths; tell me more about how you found that and how it helps us locate the one-sixth.,How did you arrive at three-fourths? Walk me through your thinking and how that connects to the one-sixth we were looking for.
447,159,"That's not a fraction. . I know 24. Did you double check? You need to check when you divide. . I'm going back, Student S. What are you doing right here? It has to have . When I was drawing – every time I've drawn the arrays for 24 – maybe I shouldn't have done this. What are the dimensions for all of these, Student S?",158,.,I see the number you've written down. Can you walk me through your thinking and explain how that amount represents a part of the 24 we're working with?,"I see what you’ve started here. If you look at the dimensions you chose for that array, how many total squares would that give you? Try counting them up or multiplying those sides to see if it matches our total of 24, and let me know what you discover.",I see you’ve identified a part of the array there. How does that number help us figure out what fraction of the 24 total items we’re looking at?,Can you explain how you arrived at this representation? How do these dimensions show the relationship between the part you found and the whole 24?
478,295,"That’s not showing your work. 1 kilo equals 1,000 grams?",294,I did.,"[teacher] I see you have the answer there, so walk me through the steps you took in your head to figure that out.","I see your final answer, but walk me through the steps you took in your head to get there. If you had to prove to a classmate that your conversion is correct, what evidence or calculation would you use to show them your logic?","""You feel like you’ve shown all the steps, so help me understand your thinking—how did you use the relationship between kilos and grams to get to your answer?""",Can you explain the mental steps you took to determine the conversion between kilograms and grams for these problems?
519,257,"No, that's not the perimeter, my friend. That's not the perimeter. That's not the perimeter. Okay. Let's go on to the next question please. Again, read the word problem. Solve it for yourself and then talk to each other. I want you to explain it to him in Creole, okay. Read it for yourself first, then explain it to him in Creole. My friend, Student A, could you please help me out and explain this in Creole to my friend?",256,Inside it.,"""I see you're thinking about the space inside the shape. Tell me more about that—how would measuring the inside be different from measuring the distance around the outside edge?""","""Hmm, if we measure the part inside, would that still be the distance *around* the shape? Take a look at your diagram and try to trace where you would walk if you were only staying on the perimeter, then tell me what you notice.""","Inside it? That’s an important part of the shape to notice. If the perimeter is the distance specifically around the outside edge, what do you think we are measuring when we look at the space that is ""inside it""?",Can you explain why you think it's the inside? How would measuring the inside help us find the distance around the shape?
531,164,"That's not what it asks you for. No. Looking at the . Look. Not paying attention, Student W. Okay. This is a whole number, right? This is a whole number. This is a decimal, right? Then after the decimal, what do you have?",163,.,"""I see what you've written there, Student W. Could you walk me through your thinking and explain how you decided on 그 value for the thousandths place?""","Student W, take a look at the value you wrote down and compare it to the word ""thousandths"" in the question. If you were to place your number into our place value chart, would it end in that specific column? See if you can find where your answer and the question's requirement might not match up.","I see you’re looking at that part of the number, Student W. How does the position of those digits help us figure out exactly how many thousandths we have here?","Student W, can you explain your reasoning for that answer and show me how it represents the thousandths place in this specific number?"
628,42,That’s not eight sides.,41,Nobody? I have 14.,"""Oh, you found 14! Can you show us how you counted those so we can see what you’re looking at?""","[teacher] 14 sides? Go ahead and show your group how you’re counting those, and see if everyone agrees with where you started and stopped.",You counted 14 sides on yours? What did you notice about the shape as you were counting all 14 of those sides?,How did you go about counting those sides to come up with 14?
632,64,That’s not equal. What sign is that? Plus. What goes here?,63,Equal.,"Tell me more about your thinking there—if we put an equal sign after the 200, how does that help us show that we are joining the 200, the 90, and the 1 together to make our total number?","[teacher] If we put an equal sign right there, let’s see what happens to our stretch. Does that sign help us join the 90 and the 1 to the 200, or does it say that 200 is the same as those other parts? Try to finish the number that way and see if it still equals 291.","""So 200 is the first part of what 291 equals; if we keep stretching it out like that rubber band, what are the other amounts we need to add to that 200 to get the rest of the way?""","Tell me why you think an equal sign goes there to show how we are putting the 200, the 90, and the 1 together?"
679,217,What? That’s not specific.,216,You’re gonna use the information that you got from the problem.,I see. Which specific numbers or details from the text are you picking out to help us find the answer?,"[teacher] Okay, try to use all that information from the problem to find the answer. As you look at it, what happens when you try to pick out the specific parts that tell you the number of fish?","Exactly, so looking at the information in the problem, what is one specific detail it tells us about how many fish were caught?","Which specific pieces of information from the problem are you choosing, and how will they help you figure out the number of fish each person caught?"
749,226,That's not hundred. You're dealing with money 9 what?,225,Hundreds.,[teacher] Nine hundreds? Tell me more about how you're seeing those nine hundreds in this problem.,"""If you write down '9 hundreds' as your total, how does that amount compare to the six dollars and three dollars you started with?""","""You're seeing nine hundreds; how do those nine hundreds translate into the total dollar amount we're looking for?""",How did you arrive at nine hundreds from the six dollars and three dollars we just rounded?
788,101,"That's not one-half. Honey, a half of this is right here. There's only two halves.",100,I did.,Tell us more about that—how are you seeing those six-sixths as one-half?,"""Let’s test that out. If you draw a circle and shade in all six-sixths, and then draw another circle and shade in one-half, what do you notice when you compare the two?""","[teacher] You’re seeing a half. If we look at those six-sixths and think of them as a half, what would we need to add to them to reach the whole that Student M is talking about?",What's your thinking there—how did you decide that six-sixths is the same amount as one-half?
851,185,"That’s not that one. That’s not 51. Close, though.",184,Five?,"Interesting, how did you arrive at five from the ten we just found?","Try testing that five—if you apply the rule we've been using, does it lead you to the result you're aiming for, or do you notice a difference?",Five? Tell us more about how you got to five and how that fits with the pattern we're seeing.,How did you arrive at that number? Walk me through your thinking.
867,144,"Correct. That's not the largest number. Least to greatest, but seventy-seven hundredths is not the greatest decimal. No, it doesn't go first. It's not the least. Show me, how is that the least? Let me see what you got for each of your fractions. Do you still have it on your board?",143,.,I see you’ve placed seventy-seven hundredths there. Walk me through your thinking—how did you compare that value to the others to decide it belonged in that spot?,,"""I see you've identified seventy-seven hundredths. When you compare that to the other decimals you've worked out, what does that tell you about where it fits in our sequence from least to greatest?""","Looking at your board, walk me through your thinking. Why did you decide that seventy-seven hundredths belongs in that specific position compared to the other values you calculated?"
867,146,Come here. Yes? That's not correct.,145,Yeah.,"Okay, show me. Walk me through your thinking—how did you decide that seventy-seven hundredths was the smallest value compared to the others?",I see your order here. Try lining up the decimal points for all your results and compare the digits in the tenths place. Does seventy-seven hundredths still look like it belongs at the beginning of the list?,"Okay, show me your board; since you have seventy-seven hundredths listed first, how does its value compare to the other decimals you calculated?",Walk me through your thinking—how did you compare seventy-seven hundredths to the other decimals on your board to decide that it belongs at the beginning of your list?
870,566,That's not true. You divide it into shapes you know. What shapes do you know?,565,"No, because you need the –",[teacher] You paused there—what is it you think we’re missing to be able to use that formula?,"""You were just starting to say 'no' there—what did you notice? If you use the 5 and the 12 for that calculation, how does that result compare to the actual shape we're looking at?""","""You're noticing we might be missing a piece; what specific measurement are you looking for to make that base times height calculation work?""","Wait, tell me more about that—why do you think those numbers aren't enough to find the area yet?"
870,615,Twelve. So that's not the number I need.,614,Twelve.,"So if twelve is the total height from top to bottom, and we know this bottom section is five, how can we use those two numbers to figure out the measurement of the part that’s left?","If the total height is 12, but your two halves only add up to 10, what does that tell you about the idea that those two pieces are the same size?","It is 12. So if the whole height is 12 and we know this bottom part is 5, what does that tell us about what the rest of that measurement has to be?","So if we have five and five, how does that help us get to that total height of twelve?"
879,307,No. That’s not math.,306,Zigzag.,"A zigzag! If you were to describe that shape using math words, what could you tell us about the lines and angles that make it up?","[teacher] A zigzag? Try to draw that on the board for us. Once you’ve drawn it, look at the other math terms we have up there—like axis and addition—and see if you can find a way to explain how a zigzag fits into the rules we’re using today.","A zigzag! If we were to plot points that form a zigzag on our axis, what would we notice about the way those numbers are changing?",How does a zigzag connect to the mathematical concepts we are exploring today?
910,228,Well figure it out. That’s part of it. Knowing it doesn’t mean anything if you can’t write the equation. You have to be able to write the equation. We worked on writing equations everyday last week. Yeah but that’s not the way we should write that in math. You figure that out. You figure out how we would write that. Don’t look over there.,227,"But I get the thing, but I don’t know how to write it.","""I’m glad you’ve got the concept. Tell me in your own words what’s happening in the problem, and let’s see if we can work together to translate that idea into mathematical symbols.""","""I hear you. Try writing down your idea exactly how you’re thinking it, even if it doesn’t look like a formal equation yet. Once you have it on paper, pick one of the numbers from our problem and see if your version gives you the result you're expecting. Let’s see where it works and where it might feel stuck.""","I’m glad you’ve got the concept down. Since you’ve figured out ""the thing"" that’s happening, how would you describe that relationship in your own words so we can start building the equation from there?","Talk me through what you understand so far. How did you arrive at your answer, and how can we use that logic to start building the equation?"
910,232,Yeah but that’s not how we would write that.,231,Is this right?,I see what you’ve put down; can you walk me through your thinking and explain how these parts of your equation represent the problem we're solving?,"""Try testing your equation out—if you followed those symbols exactly as you wrote them, would they lead you to the same answer you found, or is there a piece missing?""","I see you’ve started to map it out; how does this way of writing it represent the ""thing"" you said you understood about the problem?",Can you walk me through your thinking and explain how each part of your equation represents a piece of the problem?
910,246,That’s not how we write it though.,245,This is supposed to be a variable – .,"""Tell me more about how it being a variable influences the way you think we should write it.""","[teacher] Try writing it out your way for a few different examples. Does that notation still hold up as the math gets more complex, or do you notice a spot where it might start to get confusing?","[teacher] Since you’re pointing out that it’s a variable, why do you think we use that exponent of two to show the variable's relationship to the area instead of just writing it out as $r$ times $r$?",How does thinking about it as a variable explain why you chose to write it that way?
910,260,"I might have to – that’s not how you write it, no.",259,.,Tell me more about that symbol—how does it represent the relationship you're trying to show in the formula?,"Try to use that notation to solve the next step. Does it clearly represent the radius being multiplied by itself, or do you see a spot where it might lead to a different calculation?","[teacher] I see you're using a symbol to represent that connection—how does your way of writing it show the relationship between the variables in the same way that ""R squared"" does for the area?",Can you explain your reasoning for using that notation and how it represents the relationship between the variables in the area formula?
910,708,That’s not an equation. You can’t have an equation that would work for all of them ‘cause –,707,.,Tell me more about how you're seeing that. How could we turn that idea into a rule that would work for every example on the list?,"Try testing that idea against two different problems on your paper. Does it work for both of them, or do you notice a spot where your logic starts to run into a problem?","""You’re noticing that it feels impossible to find one rule for all of these. What is it about the way these numbers are changing that makes you think a single equation wouldn't be able to cover them all?""",How would you explain your reasoning for why one equation wouldn't be able to work for all of those different cases?
910,790,"It has to go straight above, not off to the side. That’s not the way it works, Student S. You don’t just bring something over for no reason. You gotta go –",789,Oh yeah.,[teacher] I see you’re thinking about moving it off to the side—can you walk me through what you’re noticing that makes you want to put it there instead of straight above?,"[teacher] I see you’re moving that over to the side. Go ahead and try it that way for a second—if you keep it there, how does that affect your ability to compare it directly to the other numbers from left to right?","[teacher] I see you’re thinking about moving it off to the side. If we shift it over there instead of keeping it straight above, what does that help us see about how it compares to the one on the left?",Can you explain your thinking behind moving that over to the side? How does that help you compare the values from left to right?
934,162,That’s not a six.,161,No.,"Tell me more about why you say ""no""—what do you see there instead?","Take a look at where that 6 is sitting in your number; if you add all those parts up right now, what total do you get?","Oh, you’re saying that’s not what you intended? Help me understand what value you were trying to show with that digit in your expanded notation.",Can you explain how you determined the value of that digit in your expanded notation?
994,233,"That’s not what I want, though, at all. What’s an even easier number to work with in my head besides 820? 820 multiply. What do you think?",232,It’s 820.,[teacher] Tell me more about why you chose 820—how does rounding to that number help you solve the problem in your head?,"If you use 820, try to do that multiplication in your head right now. Does that feel like a quick mental shortcut, or is there a part of that number that still makes the calculation a little tough to do without paper?","Okay, so 820 gets us closer, but if we wanted to make it even simpler to calculate in our heads, what's a number near 820 that would be even easier to multiply?",Tell me more about why you chose 820—how does that number help you solve the problem quickly in your head?
1079,137,No. That's not a key word. A key word is a word that drives you into action. Student J?,136,Vanilla.,"That’s interesting—you used the word ""vanilla"" earlier when you were explaining your 5 times 1 calculation. Can you tell me more about how that word helps you decide which operation to use?","[teacher] Let’s test that out. If we look at the word ""vanilla,"" does that tell us to multiply, or is there another word in the problem that tells us what math action to take?","""You're looking at 'vanilla'—how does that word help us understand what's happening in the problem so we know what math action to take?""","How does ""vanilla"" help you figure out what math we need to do for this problem?"
1079,184,"Is it the answer? No, that's not the answer.",183,.,Walk me through your thinking; how did you use the two hours for exercise and the thirty minutes at the park to arrive at that time?,"I see your thinking. Try tracing your jumps on the clock starting from 10:30—first the two hours for the dog, then the 30 minutes for the park—and see if you land on that same time.","I see you're calculating the next jump in her day; if we take the time you just found and add that last half hour she spent at the park, what time does she finally walk through the front door?",Walk me through your thinking—how did you use the two hours for the dog and the 30 minutes at the park to arrive at that time?
1161,424,Before the what? That’s not what you said before.,423,Image.,Tell me more about that—what do we do to that first image to change it into the final version?,"[teacher] If the pre-image is what we have “before the image,” look at the two dogs on your paper and tell me which one had to exist first for the transformation to happen.","Exactly, before the final image. So what specifically did we do to that first dog to transform it into the image we see now?","What do you mean by ""before the image""? Can you explain how the transformation we did connects the pre-image to that final result?"
